"","depth.corrected","Ice.age..GT4.","Dust.Conc..ppm."
"344",2559.41,209864,0.021
"345",2564.41,210466,0.023
"346",2568.41,210941,0.032
"347",2569.41,211057,0.015
"348",2574.41,211651,0.022
"349",2576.41,211892,0.04
"350",2579.41,212237,0.029
"351",2583.41,212700,0.03
"352",2585.41,212928,0.022
"353",2597.41,214297,0.031
"354",2600.41,214639,0.018
"355",2603.41,214978,0.06
"356",2607.41,215432,0.022
"357",2612.41,216003,0.036
"358",2612.41,216003,0.054
"359",2615.41,216369,0.029
"360",2619.41,216839,0.032
"361",2629.41,217989,0.022
"362",2634.41,218602,0.035
"363",2637.41,219000,0.082
"364",2640.41,219393,0.041
"365",2642.41,219660,0.053
"366",2646.41,220226,0.093
"367",2651.41,220967,0.077
"368",2653.41,221272,0.069
"369",2660.41,222426,0.119
"370",2664.41,223135,0.138
"371",2667.41,223681,0.194
"372",2670.41,224240,0.158
"373",2674.41,224959,0.029
"374",2677.41,225469,0.085
"375",2680.41,225971,0.069
"376",2684.41,226653,0.036
"377",2691.41,227958,0.076
"378",2694.41,228488,0.07
"379",2697.41,229052,0.045
"380",2701.41,229802,0.073
"381",2703.41,230161,0.031
"382",2706.41,230691,0.076
"383",2715.41,232206,0.036
"384",2715.41,232206,0.043
"385",2718.41,232682,0.039
"386",2719.41,232838,0.007
"387",2721.41,233146,0.033
"388",2721.41,233146,0.055
"389",2723.41,233453,0.056
"390",2733.41,234896,0.096
"391",2736.41,235329,0.038
"392",2748.41,236970,0.058
"393",2751.41,237338,0.033
"394",2754.41,237690,0.083
"395",2756.41,237912,0.079
"396",2762.41,238578,0.012
"397",2765.41,238932,0.015
"398",2768.41,239298,0.014
"399",2771.41,239698,0.011
"400",2774.41,240141,0.029
"401",2777.41,240614,0.014
"402",2780.41,241118,0.06
"403",2780.41,241118,0.067
"404",2783.41,241674,0.029
"405",2786.41,242267,0.083
"406",2789.41,242850,0.039
"407",2792.41,243406,0.023
"408",2795.41,243999,0.06
"409",2797.41,244424,0.131
"410",2797.41,244424,0.052
"411",2798.41,244639,0.156
"412",2801.41,245283,0.104
"413",2807.41,246574,0.378
"414",2816.41,248545,0.191
"415",2819.41,249219,0.116
"416",2825.41,250501,0.078
"417",2828.41,251104,0.169
"418",2834.41,252422,0.208
"419",2837.41,253075,0.12
"420",2840.41,253763,0.115
"421",2846.41,255056,0.219
"422",2849.41,255711,0.053
"423",2852.41,256387,0.223
"424",2858.41,257827,0.439
"425",2864.41,259340,1.012
"426",2868.41,260380,0.64
"427",2871.41,261179,0.942
"428",2874.41,261973,0.167
"429",2878.41,263043,0.554
"430",2883.41,264383,0.791
"431",2888.41,265707,0.558
"432",2897.41,268050,0.093
"433",2903.41,269532,0.168
"434",2907.41,270507,0.077
"435",2913.41,271920,0.017
"436",2918.41,273037,0.085
"437",2922.41,273918,0.123
"438",2928.41,275216,0.086
"439",2937.41,277120,0.045
"440",2943.41,278456,0.08
"441",2948.41,279632,0.146
"442",2954.41,281175,0.184
"443",2958.41,282253,0.14
"444",2968.41,284925,0.204
"445",2974.41,286639,0.041
"446",2978.41,287726,0.059
"447",2981.41,288530,0.059
"448",2987.41,290214,0.066
"449",2993.41,291830,0.054
"450",2998.41,293076,0.042
"451",3001.41,293893,0.063
"452",3005.41,295035,0.045
"453",3008.41,295862,0.09
"454",3017.41,298327,0.257
"455",3021.41,299383,0.097
"456",3025.41,300397,0.078
"457",3028.41,301156,0.053
"458",3031.41,301917,0.032
"459",3034.41,302691,0.013
"460",3035.41,302937,0.029
"461",3038.41,303657,0.022
"462",3044.41,305288,0.021
"463",3047.41,306200,0.111
"464",3050.41,307131,0.102
"465",3053.41,308031,0.026
"466",3056.41,308907,0.02
"467",3058.41,309483,0.009
"468",3061.41,310330,0.036
"469",3065.41,311411,0.022
"470",3068.41,312208,0.019
"471",3077.41,314543,0.021
"472",3080.41,315297,0.045
"473",3085.41,316524,0.02
"474",3086.41,316765,0.027
"475",3088.41,317255,0.044
"476",3091.41,317999,0.037
"477",3098.41,319708,0.019
"478",3107.41,321875,0.032
"479",3110.41,322513,0.014
"480",3118.41,324218,0.008
