"","Depth.corrected","Ice.age..GT4.","Gas.age","CH4..ppbv."
"326",2845.5,254871,250460,467
"327",2851.5,256180,251519,421
"328",2854.4,256860,252183,410
"329",2857.5,257602,252957,511
"330",2860.5,258358,253889,486
"331",2866.5,259879,255230,398
"332",2870.4,260916,256038,408
"333",2872.7,261510,256489,385
"334",2876.2,262453,257245,402
"335",2881.5,263865,258495,457
"336",2884.5,264663,259226,445
"337",2887.5,265454,259956,426
"338",2890.5,266260,260759,448
"339",2893.5,267040,261596,454
"340",2896.4,267804,262388,448
"341",2899.5,268556,263204,441
"342",2902.5,269304,264042,442
"343",2905.5,270050,264831,443
"344",2911.4,271448,266485,417
"345",2914.5,272177,267443,453
"346",2917.5,272836,268273,429
"347",2919.4,273254,268677,441
"348",2926.5,274800,270677,484
"349",2935.5,276729,273010,472
"350",2941.5,278016,274443,508
"351",2944.5,278704,275209,516
"352",2951.2,280356,276867,522
"353",2956.5,281738,277924,430
"354",2964.5,283807,279541,430
"355",2973.9,286496,282325,507
"356",2979.5,288010,283491,464
"357",2988.6,290551,286214,482
"358",2994.5,292129,287852,522
"359",2997.5,292853,288492,454
"360",3000.4,293619,289444,433
"361",3003.5,294493,290568,438
"362",3009.5,296156,292472,475
"363",3015.6,297835,293700,429
"364",3018.5,298620,294611,468
"365",3021.5,299407,295514,464
"366",3027.7,300970,297181,460
"367",3030.4,301671,298058,487
"368",3033.5,302450,299016,486
"369",3036.5,303199,299875,511
"370",3039.5,303931,300639,545
"371",3042.5,304738,301489,539
"372",3045.5,305609,302452,603
"373",3048.5,306552,303328,568
"374",3051.5,307461,303951,588
"375",3054.5,308352,304584,435
"376",3057.7,309277,305303,443
"377",3060.5,310076,306088,457
"378",3063.5,310900,307124,478
"379",3066.5,311701,308097,478
"380",3072.5,313289,310035,488
"381",3075.6,314077,310980,522
"382",3078.5,314816,311769,570
"383",3081.6,315590,312666,561
"384",3084.6,316319,313510,589
"385",3087.8,317098,314366,624
"386",3090.5,317773,315139,620
"387",3093.5,318507,315937,621
"388",3096.4,319224,316674,639
"389",3099.5,319976,317442,627
"390",3102.5,320731,318261,637
"391",3105.5,321446,318978,639
"392",3109.5,322330,319871,636
"393",3111.5,322753,320388,604
"394",3114.8,323439,321383,604
"395",3117.5,324019,322109,647
"396",3119.7,324496,322618,665
"397",3120.6,324718,322833,731
"398",3123.5,325403,323488,773
"399",3126.5,326197,324186,575
"400",3129.9,327237,324991,581
"401",3132.4,328055,325525,588
"402",3135.5,329132,326236,558
"403",3138.5,330287,327121,537
"404",3141.5,331496,328084,517
"405",3145,333066,329234,471
"406",3147.5,334351,330204,451
"407",3153.5,337299,332289,458
"408",3156.5,338745,333600,371
"409",3159.5,340342,335404,383
"410",3162.8,341844,336967,342
"411",3165.5,343109,338273,369
"412",3169,344841,340163,422
"413",3171.5,346049,341572,397
"414",3174.5,347584,342993,442
"415",3177.8,349293,344729,406
"416",3180.5,350757,346095,384
"417",3183.4,352372,347604,398
"418",3186.5,354121,349160,391
"419",3189.5,355789,350759,386
"420",3192.5,357445,352406,392
"421",3195.7,359181,354326,384
"422",3199,360896,356202,399
"423",3200,361445,356838,399
"424",3201.4,362204,357728,396
"425",3204.7,363957,359682,454
"426",3207.5,365473,361167,422
"427",3210.6,367094,362814,386
"428",3213.7,368664,364471,397
"429",3216.5,370069,366191,432
"430",3219.5,371827,368105,463
"431",3222.5,373615,369552,517
"432",3225.5,375314,370919,405
"433",3228.9,377171,373007,432
"434",3231.5,378475,374567,482
"435",3237.5,381820,378183,521
"436",3240.5,383388,379625,445
"437",3243.5,384986,381612,516
"438",3246.5,386818,383527,542
"439",3249.5,388758,384910,578
"440",3252.5,390609,386543,567
"441",3255.5,392628,388652,544
"442",3258.5,394611,390567,439
"443",3261.5,396400,392427,448
"444",3264.5,398086,394620,478
"445",3267.5,399720,396698,550
"446",3270.6,401444,398575,574
"447",3273.8,403146,400362,566
"448",3276.5,404597,401860,598
"449",3280.5,406690,404164,600
"450",3283.5,408217,405823,672
"451",3286.5,409724,407442,634
"452",3289.5,411177,408995,644
"453",3292.8,412968,410793,623
"454",3295.5,414399,412182,626
"455",3299,416327,414080,653
"456",3301.4,417656,415452,678
"457",3304.4,419336,417173,695
"458",NA,NA,NA,NA
